@relation IndoorTempDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-indoor-temp numeric

@data
12.4,42,24.1,24,2.63,23.9
12.5,42,23.9,24,2.68,24
12.3,42,24,24,2.68,24
12.5,42,24,24,2.778,24
12.7,41,24,24,2.829,24
12.8,41,24,24,2.863,24
13.1,41,24,24,2.98,23.9
13.6,41,23.9,24,3.005,23.7
13.6,41,23.7,24,3.03,23.5
13.9,41,23.5,24,3.209,23.5
14.2,41,23.5,24,3.278,23.8
14.4,41,23.8,24,3.455,24
15.5,41,24,24,3.353,23.8
14.8,41,23.8,24,3.579,23.7
14.4,41,23.7,24,3.68,23.9
14.7,41,23.9,24,3.707,24
14.9,41,24,24,3.638,24.2
15,41,24.2,24,3.524,24.2
14.7,41,24.2,24,3.171,24.3
14.4,41,24.3,24,3.171,24.3
14.5,41,24.3,24,2.956,24.3
15.4,41,24.3,24,3.028,24.3
14.8,41,24.3,24,3.028,24.2
15.3,41,24.2,24,2.86,24.1
16.3,41,24.1,24,2.834,23.9
16,41,23.9,24,2.833,23.8
17,41,23.8,24,2.942,23.7
17.6,41,23.7,24,2.964,23.5
16.9,41,23.5,24,3.455,23.5
16.8,41,23.5,24,3.839,23.6
16.8,41,23.6,24,3.9,23.7
17.6,41,23.7,24,3.858,23.7
17.5,41,23.7,24,4.063,23.6
18,41,23.6,24,4.037,23.6
17.3,41,23.6,24,4.182,23.8
17.5,41,23.8,24,4.32,23.8
17.5,41,23.8,24,4.335,23.8
16.5,41,23.8,24,4.364,24
17,41,24,24,4.299,24.1
17.5,41,24.1,24,4.081,24.1
17.1,41,24.1,24,3.639,24.1
16.6,41,24.1,24,3.532,24.2
16.6,41,24.2,24,2.316,24.5
16.1,41,23.3,24,2.299,23.1
14.9,41,23.1,24,2.404,23.2
14.4,41,23.2,24,2.453,23
14.1,41,23,24,2.547,22.1
13.8,41,22.1,24,3.613,22.1
13.8,42,22.1,24,3.187,22.1
14,42,22.1,24,3.19,22.2
11.3,42,19.9,24,1.085,23
11.4,42,23,24,3.494,23.6
11.3,42,23.6,24,3.197,23.9
11.3,42,23.9,24,2.821,24.2
11.1,42,24.2,24,2.576,24.3
11.1,42,24.3,24,2.407,24.5
11.1,42,24.5,24,2.31,24.5
11.1,41,23.1,24,2.755,23.1
11,41,23.1,24,3.092,23.3
10.9,41,23.3,24,3.138,23.4
11.3,41,23.4,24,3.357,23.5
11.4,41,23.5,24,3.345,24.2
11.5,41,24.2,24,3.188,24.4
9.9,41,24,24,3.698,24
10,41,24,24,3.584,24.1
10.1,41,24.1,24,3.463,24.1
10.3,41,24.1,24,3.41,23.7
10.5,41,23.7,24,3.56,23.9
9.3,42,21.1,24,1.088,23.6
9.3,42,23.6,24,3.228,24.1
9.2,42,24.1,24,3.228,24.1
9.5,42,24.1,24,2.486,24.3
9.2,42,24.3,24,2.37,24.5
