@relation ModeDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-hvac-mode {40,41,42}

@data
10.7,41,24,24,2.377,41
10.5,41,23.9,24,2.417,41
10.2,41,23.9,24,2.501,41
11,41,24,24,2.576,41
11.9,41,24,24,2.636,41
10.5,41,24,24,2.741,41
11.3,41,24,24,2.726,41
10.7,41,24,24,2.804,41
11.2,41,24,24,2.803,41
11.3,41,24,24,2.789,41
12,41,24,24,2.654,41
12.4,41,24,24,2.608,41
12.8,41,24,24,2.6,41
12.2,41,24.1,24,2.6,41
13.6,41,23.9,24,2.642,41
15.1,41,23.4,24,3.146,42
12.2,42,22,24,5.431,42
13.3,42,21.6,24,6.563,42
12.4,42,21.4,24,4.094,42
11.5,42,17.4,24,1.108,42
11.5,42,20.9,24,2.734,42
11.5,42,22.5,24,3.008,42
11.4,42,22.8,24,2.893,42
11.3,42,23.1,24,2.976,42
11.2,42,23.5,24,3.074,42
11.2,42,23.6,24,3.028,42
11.1,42,23.8,24,2.937,42
11,42,23.9,24,2.583,42
10.9,42,24,24,2.544,42
11,42,24,24,2.607,42
11,42,24.1,24,2.508,42
11,42,24.1,24,2.515,42
11.2,42,24.1,24,2.339,42
11.4,42,24.2,24,2.269,42
11.5,42,24.2,24,2.214,42
11.5,42,24.2,24,2.248,42
11.7,42,24.2,24,2.145,42
13.4,42,24,24,2.322,42
13.2,42,24,24,2.479,42
14.3,42,24.1,24,2.545,42
13.5,42,24.1,24,2.595,42
13,42,24.2,24,2.65,42
12.8,42,24.2,24,2.724,42
13.1,42,24.2,24,2.818,42
14.1,42,24.1,24,2.89,42
16,42,24,24,2.868,42
17.3,42,24,24,2.879,42
17.1,42,23.9,24,2.793,42
17.2,42,23.8,24,2.81,42
17.8,42,23.7,24,2.883,42
17.2,42,23.7,24,2.789,42
17.9,42,23.6,24,2.824,42
15,42,23.6,24,2.934,42
15.7,42,23.5,24,2.914,42
15.6,42,23.5,24,3.06,42
15.8,42,23.5,24,3.001,42
